                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9891,                 5.5254,                 4.2708,                      0,                      0,                      0,                      0,                 3.9935,                 5.6709,                 4.1761,             8.1597e-05,             8.1597e-05,             8.1597e-05
                      2,                 3.7919,                  5.404,                 4.0858,                      0,                      0,                      0,                      0,                 4.0207,                 5.6825,                 4.1899,             0.00015677,             0.00015677,             0.00015677
                      3,                 3.2299,                 5.1108,                 3.7524,                0.00145,                0.00161,                0.00076,                0.00024,                 3.8867,                 5.6378,                 4.1226,             0.00022369,             0.00022369,             0.00022369
                      4,                 2.8501,                 4.7308,                 3.4332,                0.18354,                0.11738,                0.01697,                0.00606,                  2.431,                 5.2771,                 3.1288,             0.00021288,             0.00021288,             0.00021288
                      5,                 2.5988,                 4.2874,                  3.085,                0.23474,                0.08715,                0.03236,                0.01515,                 2.2031,                 3.9759,                 2.8306,              0.0002005,              0.0002005,              0.0002005
                      6,                  2.419,                 3.8967,                  2.842,                0.22847,                0.07225,                0.04289,                0.02055,                 2.1871,                 3.6554,                 2.7506,             0.00018812,             0.00018812,             0.00018812
                      7,                  2.227,                 3.6035,                 2.5825,                0.28321,                0.14508,                0.06398,                0.03612,                 1.8222,                 3.3421,                 2.3839,             0.00017575,             0.00017575,             0.00017575
                      8,                 2.1175,                 3.4652,                 2.4143,                0.51561,                0.14714,                0.08234,                0.04937,                 1.7615,                    3.3,                 2.2187,             0.00016338,             0.00016338,             0.00016338
                      9,                 1.9803,                 3.2491,                 2.2862,                0.32567,                0.19924,                 0.1011,                0.05797,                 1.6973,                 3.2215,                 2.1208,               0.000151,               0.000151,               0.000151
                     10,                 1.9206,                 3.1843,                 2.2153,                 0.4276,                0.22335,                0.15814,                0.09204,                 1.6029,                 2.9653,                 2.0185,             0.00013862,             0.00013862,             0.00013862
                     11,                 1.6243,                 3.0684,                 2.0581,                0.49693,                0.21709,                0.14935,                0.08696,                 1.6234,                 2.9346,                 2.0393,             0.00012625,             0.00012625,             0.00012625
                     12,                 1.5898,                   2.95,                 2.0261,                0.45454,                0.25177,                0.20563,                0.13758,                 1.4551,                 2.7598,                 1.9252,             0.00011387,             0.00011387,             0.00011387
                     13,                 1.5592,                 2.8626,                  1.964,                0.40896,                0.28876,                0.24448,                 0.1714,                 1.4163,                 2.6478,                 1.8318,              0.0001015,              0.0001015,              0.0001015
                     14,                 1.5219,                 2.8187,                 1.9236,                0.40786,                0.27609,                  0.262,                 0.1822,                 1.4019,                  2.644,                 1.8145,             8.9125e-05,             8.9125e-05,             8.9125e-05
                     15,                 1.4921,                 2.7433,                 1.8982,                0.49587,                0.31343,                0.29075,                0.20091,                 1.4051,                 2.5234,                 1.7937,              7.675e-05,              7.675e-05,              7.675e-05
                     16,                 1.4758,                 2.6914,                 1.8662,                0.48878,                0.31497,                 0.3099,                0.22003,                 1.3492,                 2.4565,                 1.7411,             6.4375e-05,             6.4375e-05,             6.4375e-05
                     17,                 1.4524,                 2.6582,                 1.8358,                0.52176,                0.32269,                0.32731,                 0.2325,                 1.3425,                 2.3999,                 1.7189,                5.2e-05,                5.2e-05,                5.2e-05
                     18,                 1.4345,                 2.6011,                 1.8012,                0.52275,                0.35455,                0.34121,                0.23855,                 1.3666,                 2.3681,                 1.7276,             3.9625e-05,             3.9625e-05,             3.9625e-05
                     19,                 1.4138,                 2.5715,                  1.818,                0.52168,                0.37007,                0.34838,                0.25181,                 1.2901,                 2.3373,                 1.6738,              2.725e-05,              2.725e-05,              2.725e-05
                     20,                 1.4141,                 2.5539,                 1.7791,                0.54012,                0.35544,                0.35115,                0.25126,                 1.3023,                 2.3165,                 1.6797,             1.4875e-05,             1.4875e-05,             1.4875e-05
